"Partido","Sexo","Diputados MR","Diputados RP","Total"
" PAN","Mujeres","17","30","47"
" PAN","Hombres","53","43","96"
" PRI","Mujeres","30","22","52"
" PRI","Hombres","154","31","185"
" PRD","Mujeres","5","16","21"
" PRD","Hombres","34","16","50"
" PVEM","Mujeres","1","8","9"
" PVEM","Hombres","3","9","12"
" PT","Mujeres","0","4","4"
" PT","Hombres","3","6","9"
" Convergencia","Mujeres","0","2","2"
" Convergencia","Hombres","0","4","4"
" Nueva Alianza","Mujeres","0","4","4"
" Nueva Alianza","Hombres","0","5","5"
"TOTAL",,"300","200","500"